hash,min,max,std_dev,empty_buckets,empty_buckets_percent,colliding_buckets,colliding_buckets_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset,numelements
meow64_upp,0,11,1.00006,73581947,0.36791,52849244,0.264246,126431191,0.632156,29373608000,146.868,1,fast_modulo,books_200M_uint32.ds,199999999
meow64_upp,0,11,1.00006,73581947,0.36791,52849244,0.264246,126431191,0.632156,29639363000,148.197,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
uniform_random,0,7,0.951965,121325467,0.454971,44934330,0.168504,99593131,0.497966,13715565000,68.5778,0.75,do_nothing,books_200M_uint32.ds,199999999
mult64,0,7,1.03012,131824350,0.494341,51166782,0.191875,116324466,0.581622,5529892000,27.6495,0.75,fastrange32,books_200M_uint32.ds,199999999
mult64,0,5,1.01954,130568002,0.48963,50280336,0.188551,114181672,0.570908,4951226000,24.7561,0.75,fastrange64,books_200M_uint32.ds,199999999
mult64,0,5,0.857628,110796225,0.415486,39854493,0.149454,83984052,0.41992,7071386000,35.3569,0.75,modulo,books_200M_uint32.ds,199999999
mult64,0,5,0.857628,110796225,0.415486,39854493,0.149454,83984052,0.41992,5024564000,25.1228,0.75,fast_modulo,books_200M_uint32.ds,199999999
mult64,0,5,0.857628,110796225,0.415486,39854493,0.149454,83984052,0.41992,4768494000,23.8425,0.75,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo64,0,7,0.975573,125284206,0.469816,47930335,0.179739,106547875,0.532739,5485548000,27.4277,0.75,fastrange32,books_200M_uint32.ds,199999999
fibo64,0,5,0.864634,111685373,0.41882,40442684,0.15166,85461391,0.427307,5193024000,25.9651,0.75,fastrange64,books_200M_uint32.ds,199999999
fibo64,0,5,0.857799,110823763,0.415589,39880001,0.14955,84037098,0.420185,6980730000,34.9037,0.75,modulo,books_200M_uint32.ds,199999999
fibo64,0,5,0.857799,110823763,0.415589,39880001,0.14955,84037098,0.420185,5127085000,25.6354,0.75,fast_modulo,books_200M_uint32.ds,199999999
fibo64,0,5,0.857799,110823763,0.415589,39880001,0.14955,84037098,0.420185,4758314000,23.7916,0.75,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64,0,7,0.975573,125284206,0.469816,47930335,0.179739,106547875,0.532739,5531280000,27.6564,0.75,fastrange32,books_200M_uint32.ds,199999999
fibo_prime64,0,5,0.864634,111685373,0.41882,40442684,0.15166,85461391,0.427307,5204254000,26.0213,0.75,fastrange64,books_200M_uint32.ds,199999999
fibo_prime64,0,5,0.857799,110823763,0.415589,39880001,0.14955,84037098,0.420185,6969978000,34.8499,0.75,modulo,books_200M_uint32.ds,199999999
fibo_prime64,0,5,0.857799,110823763,0.415589,39880001,0.14955,84037098,0.420185,5132395000,25.662,0.75,fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64,0,5,0.857799,110823763,0.415589,39880001,0.14955,84037098,0.420185,4799926000,23.9996,0.75,branchless_fast_modulo,books_200M_uint32.ds,199999999
multadd64,0,6,1.057,134740455,0.505277,51972077,0.194895,120045866,0.600229,5152039000,25.7602,0.75,fastrange32,books_200M_uint32.ds,199999999
multadd64,0,7,0.995755,128033420,0.480125,49858876,0.186971,111225630,0.556128,5395591000,26.978,0.75,fastrange64,books_200M_uint32.ds,199999999
multadd64,0,6,0.899044,115453537,0.432951,42211193,0.158292,90998064,0.45499,7739247000,38.6962,0.75,modulo,books_200M_uint32.ds,199999999
multadd64,0,6,0.899044,115453537,0.432951,42211193,0.158292,90998064,0.45499,5292496000,26.4625,0.75,fast_modulo,books_200M_uint32.ds,199999999
multadd64,0,6,0.899044,115453537,0.432951,42211193,0.158292,90998064,0.45499,5374676000,26.8734,0.75,branchless_fast_modulo,books_200M_uint32.ds,199999999
mult64_shift60,0,6,0.898267,115395070,0.432732,42236666,0.158387,90965070,0.454825,5276742000,26.3837,0.75,fastrange32,books_200M_uint32.ds,199999999
mult64_shift60,0,30,3.46353,250000014,0.9375,16666458,0.0624992,199999806,0.999999,3779204000,18.896,0.75,fastrange64,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.931475,119569328,0.448385,44784231,0.167941,97686893,0.488434,7243927000,36.2196,0.75,modulo,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.931475,119569328,0.448385,44784231,0.167941,97686893,0.488434,5151265000,25.7563,0.75,fast_modulo,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.931475,119569328,0.448385,44784231,0.167941,97686893,0.488434,4886488000,24.4324,0.75,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo64_shift60,0,12,1.6009,189095618,0.709109,56987537,0.213703,179416489,0.897082,5263178000,26.3159,0.75,fastrange32,books_200M_uint32.ds,199999999
fibo64_shift60,0,29,3.45603,250000005,0.9375,16666506,0.0624994,199999845,0.999999,3763227000,18.8161,0.75,fastrange64,books_200M_uint32.ds,199999999
fibo64_shift60,0,8,0.999128,126834483,0.475629,47469239,0.17801,107637056,0.538185,7253828000,36.2691,0.75,modulo,books_200M_uint32.ds,199999999
fibo64_shift60,0,8,0.999128,126834483,0.475629,47469239,0.17801,107637056,0.538185,5133330000,25.6667,0.75,fast_modulo,books_200M_uint32.ds,199999999
fibo64_shift60,0,8,0.999128,126834483,0.475629,47469239,0.17801,107637056,0.538185,4906797000,24.534,0.75,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64_shift60,0,12,1.6009,189095618,0.709109,56987537,0.213703,179416489,0.897082,5286385000,26.4319,0.75,fastrange32,books_200M_uint32.ds,199999999
