hash,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset
fibo_prime64,186865000,0.934325,0.75,fastrange32,books_200M_uint32.ds
fibo_prime64,348390000,1.74195,0.75,fastrange64,books_200M_uint32.ds
fibo_prime64,1622344000,8.11172,0.75,modulo,books_200M_uint32.ds
fibo_prime64,269235000,1.34618,0.75,fast_modulo,books_200M_uint32.ds
fibo_prime64,280930000,1.40465,0.75,branchless_fast_modulo,books_200M_uint32.ds
multadd64,563177000,2.81589,0.75,do_nothing,books_200M_uint32.ds
multadd64,348822000,1.74411,0.75,fastrange32,books_200M_uint32.ds
multadd64,565837000,2.82919,0.75,fastrange64,books_200M_uint32.ds
multadd64,1845471000,9.22736,0.75,modulo,books_200M_uint32.ds
multadd64,375814000,1.87907,0.75,fast_modulo,books_200M_uint32.ds
multadd64,403668000,2.01834,0.75,branchless_fast_modulo,books_200M_uint32.ds
mult64_shift60,404354000,2.02177,0.75,do_nothing,books_200M_uint32.ds
mult64_shift60,216693000,1.08347,0.75,fastrange32,books_200M_uint32.ds
mult64_shift60,404786000,2.02393,0.75,fastrange64,books_200M_uint32.ds
mult64_shift60,1667655000,8.33828,0.75,modulo,books_200M_uint32.ds
mult64_shift60,433108000,2.16554,0.75,fast_modulo,books_200M_uint32.ds
mult64_shift60,334687000,1.67344,0.75,branchless_fast_modulo,books_200M_uint32.ds
fibo64_shift60,402020000,2.0101,0.75,do_nothing,books_200M_uint32.ds
fibo64_shift60,225808000,1.12904,0.75,fastrange32,books_200M_uint32.ds
fibo64_shift60,403011000,2.01506,0.75,fastrange64,books_200M_uint32.ds
fibo64_shift60,1668358000,8.34179,0.75,modulo,books_200M_uint32.ds
fibo64_shift60,437846000,2.18923,0.75,fast_modulo,books_200M_uint32.ds
fibo64_shift60,413817000,2.06909,0.75,branchless_fast_modulo,books_200M_uint32.ds
fibo_prime64_shift60,397009000,1.98505,0.75,do_nothing,books_200M_uint32.ds
fibo_prime64_shift60,212021000,1.06011,0.75,fastrange32,books_200M_uint32.ds
fibo_prime64_shift60,405815000,2.02908,0.75,fastrange64,books_200M_uint32.ds
fibo_prime64_shift60,1700468000,8.50234,0.75,modulo,books_200M_uint32.ds
fibo_prime64_shift60,327047000,1.63524,0.75,fast_modulo,books_200M_uint32.ds
fibo_prime64_shift60,329981000,1.64991,0.75,branchless_fast_modulo,books_200M_uint32.ds
multadd64_shift60,726010000,3.63005,0.75,do_nothing,books_200M_uint32.ds
multadd64_shift60,418443000,2.09222,0.75,fastrange32,books_200M_uint32.ds
multadd64_shift60,733422000,3.66711,0.75,fastrange64,books_200M_uint32.ds
multadd64_shift60,2170905000,10.8545,0.75,modulo,books_200M_uint32.ds
multadd64_shift60,530939000,2.6547,0.75,fast_modulo,books_200M_uint32.ds
multadd64_shift60,568106000,2.84053,0.75,branchless_fast_modulo,books_200M_uint32.ds
murmur3_128_low,1186123000,5.93062,0.75,do_nothing,books_200M_uint32.ds
murmur3_128_low,1074721000,5.37361,0.75,fastrange32,books_200M_uint32.ds
murmur3_128_low,1234411000,6.17206,0.75,fastrange64,books_200M_uint32.ds
murmur3_128_low,2446276000,12.2314,0.75,modulo,books_200M_uint32.ds
murmur3_128_low,1490961000,7.45481,0.75,fast_modulo,books_200M_uint32.ds
murmur3_128_low,1547959000,7.7398,0.75,branchless_fast_modulo,books_200M_uint32.ds
murmur3_128_upp,1124500000,5.6225,0.75,do_nothing,books_200M_uint32.ds
murmur3_128_upp,1083456000,5.41728,0.75,fastrange32,books_200M_uint32.ds
murmur3_128_upp,1238307000,6.19154,0.75,fastrange64,books_200M_uint32.ds
murmur3_128_upp,2561733000,12.8087,0.75,modulo,books_200M_uint32.ds
murmur3_128_upp,1515417000,7.57709,0.75,fast_modulo,books_200M_uint32.ds
murmur3_128_upp,1304194000,6.52097,0.75,branchless_fast_modulo,books_200M_uint32.ds
murmur3_128_xor,1181166000,5.90583,0.75,do_nothing,books_200M_uint32.ds
murmur3_128_xor,1130181000,5.65091,0.75,fastrange32,books_200M_uint32.ds
murmur3_128_xor,1327711000,6.63856,0.75,fastrange64,books_200M_uint32.ds
murmur3_128_xor,2559889000,12.7994,0.75,modulo,books_200M_uint32.ds
murmur3_128_xor,1543478000,7.71739,0.75,fast_modulo,books_200M_uint32.ds
murmur3_128_xor,1625997000,8.12999,0.75,branchless_fast_modulo,books_200M_uint32.ds
murmur3_128_city,1456000000,7.28,0.75,do_nothing,books_200M_uint32.ds
murmur3_128_city,1404064000,7.02032,0.75,fastrange32,books_200M_uint32.ds
murmur3_128_city,1580165000,7.90083,0.75,fastrange64,books_200M_uint32.ds
murmur3_128_city,2710010000,13.5501,0.75,modulo,books_200M_uint32.ds
murmur3_128_city,1784063000,8.92032,0.75,fast_modulo,books_200M_uint32.ds
murmur3_128_city,1867320000,9.3366,0.75,branchless_fast_modulo,books_200M_uint32.ds
murmur3_fin64,455582000,2.27791,0.75,do_nothing,books_200M_uint32.ds
murmur3_fin64,330437000,1.65219,0.75,fastrange32,books_200M_uint32.ds
murmur3_fin64,470205000,2.35103,0.75,fastrange64,books_200M_uint32.ds
murmur3_fin64,1737183000,8.68592,0.75,modulo,books_200M_uint32.ds
murmur3_fin64,414821000,2.07411,0.75,fast_modulo,books_200M_uint32.ds
murmur3_fin64,466702000,2.33351,0.75,branchless_fast_modulo,books_200M_uint32.ds
xxh64,780393000,3.90197,0.75,do_nothing,books_200M_uint32.ds
xxh64,685636000,3.42818,0.75,fastrange32,books_200M_uint32.ds
xxh64,804861000,4.02431,0.75,fastrange64,books_200M_uint32.ds
xxh64,2022547000,10.1127,0.75,modulo,books_200M_uint32.ds
xxh64,795264000,3.97632,0.75,fast_modulo,books_200M_uint32.ds
xxh64,876034000,4.38017,0.75,branchless_fast_modulo,books_200M_uint32.ds
xxh3,713295000,3.56648,0.75,do_nothing,books_200M_uint32.ds
xxh3,627559000,3.1378,0.75,fastrange32,books_200M_uint32.ds
xxh3,761024000,3.80512,0.75,fastrange64,books_200M_uint32.ds
xxh3,1917396000,9.58698,0.75,modulo,books_200M_uint32.ds
xxh3,711913000,3.55957,0.75,fast_modulo,books_200M_uint32.ds
xxh3,772336000,3.86168,0.75,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_low,844882000,4.22441,0.75,do_nothing,books_200M_uint32.ds
xxh3_128_low,740957000,3.70479,0.75,fastrange32,books_200M_uint32.ds
xxh3_128_low,862620000,4.3131,0.75,fastrange64,books_200M_uint32.ds
xxh3_128_low,2094674000,10.4734,0.75,modulo,books_200M_uint32.ds
xxh3_128_low,843180000,4.2159,0.75,fast_modulo,books_200M_uint32.ds
xxh3_128_low,911098000,4.55549,0.75,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_upp,795235000,3.97618,0.75,do_nothing,books_200M_uint32.ds
xxh3_128_upp,741184000,3.70592,0.75,fastrange32,books_200M_uint32.ds
xxh3_128_upp,838615000,4.19308,0.75,fastrange64,books_200M_uint32.ds
xxh3_128_upp,2058302000,10.2915,0.75,modulo,books_200M_uint32.ds
xxh3_128_upp,830710000,4.15355,0.75,fast_modulo,books_200M_uint32.ds
xxh3_128_upp,893784000,4.46892,0.75,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_xor,847804000,4.23902,0.75,do_nothing,books_200M_uint32.ds
xxh3_128_xor,727615000,3.63808,0.75,fastrange32,books_200M_uint32.ds
xxh3_128_xor,890969000,4.45485,0.75,fastrange64,books_200M_uint32.ds
xxh3_128_xor,2101065000,10.5053,0.75,modulo,books_200M_uint32.ds
xxh3_128_xor,876227000,4.38114,0.75,fast_modulo,books_200M_uint32.ds
xxh3_128_xor,919911000,4.59956,0.75,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_city,1074962000,5.37481,0.75,do_nothing,books_200M_uint32.ds
xxh3_128_city,986686000,4.93343,0.75,fastrange32,books_200M_uint32.ds
xxh3_128_city,1194627000,5.97314,0.75,fastrange64,books_200M_uint32.ds
xxh3_128_city,2288300000,11.4415,0.75,modulo,books_200M_uint32.ds
xxh3_128_city,1110529000,5.55265,0.75,fast_modulo,books_200M_uint32.ds
xxh3_128_city,1218091000,6.09046,0.75,branchless_fast_modulo,books_200M_uint32.ds
tabulation_small64,619795000,3.09898,0.75,do_nothing,books_200M_uint32.ds
tabulation_small64,532841000,2.66421,0.75,fastrange32,books_200M_uint32.ds
tabulation_small64,651531000,3.25766,0.75,fastrange64,books_200M_uint32.ds
tabulation_small64,1900690000,9.50345,0.75,modulo,books_200M_uint32.ds
tabulation_small64,736942000,3.68471,0.75,fast_modulo,books_200M_uint32.ds
tabulation_small64,691095000,3.45548,0.75,branchless_fast_modulo,books_200M_uint32.ds
tabulation_large64,623387000,3.11694,0.75,do_nothing,books_200M_uint32.ds
tabulation_large64,526784000,2.63392,0.75,fastrange32,books_200M_uint32.ds
tabulation_large64,654224000,3.27112,0.75,fastrange64,books_200M_uint32.ds
tabulation_large64,1948090000,9.74045,0.75,modulo,books_200M_uint32.ds
tabulation_large64,682817000,3.41409,0.75,fast_modulo,books_200M_uint32.ds
tabulation_large64,672418000,3.36209,0.75,branchless_fast_modulo,books_200M_uint32.ds
city64,511780000,2.5589,0.75,do_nothing,books_200M_uint32.ds
city64,465960000,2.3298,0.75,fastrange32,books_200M_uint32.ds
city64,565304000,2.82652,0.75,fastrange64,books_200M_uint32.ds
city64,1852963000,9.26482,0.75,modulo,books_200M_uint32.ds
city64,583191000,2.91596,0.75,fast_modulo,books_200M_uint32.ds
city64,660246000,3.30123,0.75,branchless_fast_modulo,books_200M_uint32.ds
city128_low,1047079000,5.2354,0.75,do_nothing,books_200M_uint32.ds
city128_low,989910000,4.94955,0.75,fastrange32,books_200M_uint32.ds
city128_low,1128482000,5.64241,0.75,fastrange64,books_200M_uint32.ds
city128_low,2379347000,11.8967,0.75,modulo,books_200M_uint32.ds
city128_low,1127898000,5.63949,0.75,fast_modulo,books_200M_uint32.ds
city128_low,1236986000,6.18493,0.75,branchless_fast_modulo,books_200M_uint32.ds
city128_upp,1296752000,6.48376,0.75,do_nothing,books_200M_uint32.ds
city128_upp,1265596000,6.32798,0.75,fastrange32,books_200M_uint32.ds
city128_upp,1397064000,6.98532,0.75,fastrange64,books_200M_uint32.ds
city128_upp,2678710000,13.3936,0.75,modulo,books_200M_uint32.ds
city128_upp,1435440000,7.1772,0.75,fast_modulo,books_200M_uint32.ds
city128_upp,1506869000,7.53435,0.75,branchless_fast_modulo,books_200M_uint32.ds
city128_xor,1334353000,6.67177,0.75,do_nothing,books_200M_uint32.ds
city128_xor,1313617000,6.56809,0.75,fastrange32,books_200M_uint32.ds
city128_xor,1435261000,7.17631,0.75,fastrange64,books_200M_uint32.ds
city128_xor,2732554000,13.6628,0.75,modulo,books_200M_uint32.ds
city128_xor,1465101000,7.32551,0.75,fast_modulo,books_200M_uint32.ds
city128_xor,1565489000,7.82745,0.75,branchless_fast_modulo,books_200M_uint32.ds
city128_city,1639023000,8.19512,0.75,do_nothing,books_200M_uint32.ds
city128_city,1611525000,8.05763,0.75,fastrange32,books_200M_uint32.ds
city128_city,1765879000,8.8294,0.75,fastrange64,books_200M_uint32.ds
