dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,1.000000,murmur3_128_upp,fastrange32,0,11,1.000322,73598254,0.367991,52847158,0.264236,126445412,0.632227,10376216579,51.881083
books_200M_uint32,199999999,1.000000,murmur3_128_upp,fastrange64,0,11,1.000010,73575497,0.367877,52844537,0.264223,126420034,0.632100,10736487051,53.682436
books_200M_uint32,199999999,0.750000,murmur3_128_low,fastrange64,0,10,1.000036,125967845,0.472379,46230569,0.173365,105531748,0.527659,11939387889,59.696940
books_200M_uint32,199999999,1.000000,murmur3_128_upp,branchless_fast_modulo,0,11,1.000028,73576546,0.367883,52843565,0.264218,126420111,0.632101,11747948198,58.739741
books_200M_uint32,199999999,0.750000,murmur3_128_low,branchless_fast_modulo,0,10,1.000053,125970714,0.472390,46231838,0.173369,105535886,0.527679,12373868202,61.869341
books_200M_uint32,199999999,1.000000,murmur3_128_xor,fastrange32,0,10,1.000290,73593110,0.367966,52843439,0.264217,126436549,0.632183,10757283234,53.786416
books_200M_uint32,199999999,0.750000,murmur3_128_upp,fastrange32,0,10,1.000091,125973015,0.472399,46230959,0.173366,105537308,0.527687,11017202737,55.086014
books_200M_uint32,199999999,1.000000,murmur3_128_xor,fastrange64,0,12,1.000061,73577992,0.367890,52847283,0.264236,126425275,0.632126,11247392574,56.236963
books_200M_uint32,199999999,0.750000,murmur3_128_upp,fastrange64,0,9,1.000051,125969294,0.472385,46229492,0.173361,105532120,0.527661,10960117466,54.800588
books_200M_uint32,199999999,1.000000,murmur3_128_xor,branchless_fast_modulo,0,11,0.999933,73574138,0.367871,52852162,0.264261,126426300,0.632132,11802764963,59.013825
books_200M_uint32,199999999,0.750000,murmur3_128_upp,branchless_fast_modulo,0,11,1.000033,125966362,0.472374,46229282,0.173360,105528978,0.527645,12240637244,61.203187
books_200M_uint32,199999999,1.000000,murmur3_128_city,fastrange32,0,11,1.000227,73594372,0.367972,52850536,0.264253,126444908,0.632225,11768150769,58.840754
books_200M_uint32,199999999,0.750000,murmur3_128_xor,fastrange32,0,9,1.000188,125979422,0.472423,46229616,0.173361,105542372,0.527712,10838464247,54.192322
books_200M_uint32,199999999,1.000000,murmur3_128_city,fastrange64,0,12,1.000058,73578282,0.367891,52846268,0.264231,126424550,0.632123,12179814724,60.899074
