dataset,numelements,load_factor,bucket_size,hashtable,hash,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,num_runs,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,43115144779,215.575724,53022074871,265.110374,53233171170,266.165856,0.000000,5,0.650294,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,47768265689,238.841328,53813714347,269.068572,53870333553,269.351668,0.000000,5,0.676677,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,26233258704,290.072155,24937795508,275.747675,24938791989,275.758693,0.000000,5,0.694465,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,27061053868,299.225434,25002183656,276.459642,24998206463,276.415664,0.000000,5,0.692488,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,186068180215,930.340901,55361303426,276.806517,55332143613,276.660718,0.000000,5,0.967399,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,185037755606,925.188778,55714600171,278.573001,55674837945,278.374190,0.000000,5,0.964779,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,28020802557,309.837778,25417305749,281.049821,25413118796,281.003524,0.000000,5,0.665912,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,29015883048,320.840801,25496328245,281.923606,25493138932,281.888340,0.000000,5,0.658317,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,28644818471,316.737784,25696850272,284.140862,25692158174,284.088980,0.000000,5,0.650321,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,28250165111,312.373936,25832830870,285.644457,25835585847,285.674920,0.000000,5,0.650255,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,31744726464,351.014768,26144220303,289.087620,26140011782,289.041085,0.000000,5,0.613952,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,31324302148,346.365960,26359684186,291.470095,26360261685,291.476481,0.000000,5,0.614011,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,64158479874,320.792399,59976785674,299.883928,59977777881,299.888889,0.000000,5,0.713542,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,58924594816,294.622974,59980617535,299.903088,59982051525,299.910258,0.000000,5,0.711611,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,65313912503,326.569563,60453474143,302.267371,60462219946,302.311100,0.000000,5,0.650418,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,65594005597,327.970028,60680457319,303.402287,60681972137,303.409861,0.000000,5,0.706669,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,62716251609,313.581258,61258372035,306.291860,61200144417,306.000722,0.000000,5,0.687780,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,63149154953,315.745775,61287842067,306.439210,61238570678,306.192853,0.000000,5,0.686877,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,65413361959,327.066810,61414462156,307.072311,61367064406,306.835322,0.000000,5,0.713862,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_biased_kicking_10,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,75238807164,376.194036,61407405349,307.037027,61375658529,306.878293,0.000000,5,0.835353,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,65700163062,328.500815,61433310343,307.166552,61432034295,307.160171,0.000000,5,0.650366,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66195671720,330.978359,61565839134,307.829196,61560473226,307.802366,0.000000,5,0.650318,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_biased_kicking_10,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,83411050115,417.055251,61636369279,308.181846,61599922862,307.999614,0.000000,5,0.835324,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,67651610909,338.258055,61987747246,309.938736,61985935370,309.929677,0.000000,5,0.650320,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66527923449,332.639617,62272136803,311.360684,62225312395,311.126562,0.000000,5,0.650289,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,95553708678,477.768543,62351882466,311.759412,62357574126,311.787871,0.000000,5,0.811135,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,96186348184,480.931741,62407255598,312.036278,62376653836,311.883269,0.000000,5,0.811191,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66525907193,332.629536,62378767123,311.893836,62381851947,311.909260,0.000000,5,0.650373,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,64849736602,324.248683,62412872524,312.064363,62412406617,312.062033,0.000000,5,0.688912,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66999177472,334.995887,62435302062,312.176510,62435564370,312.177822,0.000000,5,0.650306,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,60672973130,303.364866,62517722758,312.588614,62541225278,312.706126,0.000000,5,0.650519,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,67169618450,335.848092,62711522151,313.557611,62652454273,313.262271,0.000000,5,0.650355,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,59955549992,299.777750,62669963348,313.349817,62677315211,313.386576,0.000000,5,0.706725,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,67071281283,335.356406,62678178790,313.390894,62698064348,313.490322,0.000000,5,0.650361,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66881143860,334.405719,62771986507,313.859933,62770426963,313.852135,0.000000,5,0.650264,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,95172395721,475.861979,62782928145,313.914641,62784128599,313.920643,0.000000,5,0.811189,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,67901411869,339.507059,62941619197,314.708096,62924181171,314.620906,0.000000,5,0.650340,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,67385369604,336.926848,62949979146,314.749896,62959417254,314.797086,0.000000,5,0.650331,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,68868701302,344.343507,63201634899,316.008174,63196664060,315.983320,0.000000,5,0.614194,,,,,,,,
