dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.010000,0,493,0.934391,610008521,0.762511,8688167,0.010860,18696691,0.093483,312789414,1.563947,114595709,0.572979,15384603,0.076923,33467077529,167.335388,33909847255,169.549237
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,0,40,0.933026,609867455,0.762334,8507488,0.010634,18374946,0.091875,1961790009,9.808950,1270075831,6.350379,154095903,0.770480,62481625810,312.408131,65867587553,329.337939
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,0,9,0.903601,605549738,0.756937,4780517,0.005976,10330258,0.051651,726344140,3.631721,17331061713,86.655309,1743972088,8.719860,77268868292,386.344343,97070246233,485.351234
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.001000,0,2922,0.957857,609984567,0.762481,8665665,0.010832,18650235,0.093251,23157589,0.115788,10168483,0.050842,2993998,0.014970,25849433480,129.247168,25885753550,129.428768
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.010000,0,493,0.934391,610008521,0.762511,8688167,0.010860,18696691,0.093483,314482909,1.572415,116682979,0.583415,19109168,0.095546,25807464538,129.037323,26257739594,131.288699
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.100000,0,40,0.933026,609867455,0.762334,8507488,0.010634,18374946,0.091875,2167565591,10.837828,1336141431,6.680707,163550933,0.817755,42564092617,212.820464,46231350572,231.156754
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,0,9,0.903601,605549738,0.756937,4780517,0.005976,10330258,0.051651,656425757,3.282129,16583781238,82.918907,1793685811,8.968429,52425702679,262.128515,71459595485,357.297979
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.001000,0,6915,1.163439,627378690,0.784223,20371522,0.025464,47750215,0.238751,21483273,0.107416,10251097,0.051255,1457574,0.007288,17001230670,85.006154,17034422614,85.172113
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.010000,0,2154,0.938306,608675985,0.760845,7450617,0.009313,16126605,0.080633,159148245,0.795741,108485032,0.542425,9465850,0.047329,21474775862,107.373880,21751874989,108.759375
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,0,207,0.922916,608235490,0.760294,7088096,0.008860,15323589,0.076618,2942719731,14.713599,1264536732,6.322684,87281859,0.436409,30143124848,150.715625,34437663170,172.188317
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,0,38,0.923214,608265145,0.760331,7079150,0.008849,15344298,0.076721,895127777,4.475639,19501195870,97.505980,1074355192,5.371776,46994081971,234.970411,68464760810,342.323806
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.001000,0,6915,1.163439,627378690,0.784223,20371522,0.025464,47750215,0.238751,17470728,0.087354,9017948,0.045090,1596903,0.007985,17417172456,87.085863,17445258035,87.226291
