dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.500000,pgm_hash_eps128,min_max_cutoff,0.010000,0,2162,0.989092,234666455,0.586666,27791800,0.069480,62458256,0.312291,4422737938,22.113690,136611445,0.683057,38129600,0.190648,40577337816,202.886690,45174816799,225.874085
books_200M_uint32,199999999,0.500000,pgm_hash_eps16,min_max_cutoff,0.010000,0,689,0.964659,232968023,0.582420,26774477,0.066936,59742501,0.298713,5687095524,28.435478,145945433,0.729727,49973187,0.249866,53337834899,266.689176,59220849043,296.104247
books_200M_uint32,199999999,0.250000,pgm_eps128,min_max_cutoff,0.010000,0,24891,10.795818,798000661,0.997501,1999312,0.002499,199999976,1.000000,1527611071,7.638055,140555728,0.702779,36403005,0.182015,107754481653,538.772411,109459051457,547.295260
books_200M_uint32,199999999,0.500000,pgm_eps128,min_max_cutoff,0.100000,0,2722,4.037061,380256283,0.950641,18927139,0.047318,199183423,0.995917,8805755082,44.028776,1713055908,8.565280,387881180,1.939406,59751689993,298.758451,70658382163,353.291913
books_200M_uint32,199999999,0.250000,pgm_eps16,min_max_cutoff,0.010000,0,4204,11.341669,798016861,0.997521,1983108,0.002479,199999972,1.000000,2066348680,10.331743,143353730,0.716769,46924791,0.234624,89011371383,445.056859,91267998584,456.339995
books_200M_uint32,199999999,0.500000,pgm_eps16,min_max_cutoff,0.100000,0,517,3.984218,380465836,0.951165,18740907,0.046852,199206744,0.996034,7752868386,38.764342,1651787137,8.258936,532134701,2.660674,63574458454,317.872294,73511248678,367.556245
books_200M_uint32,199999999,0.500000,pgm_hash_eps128,min_max_cutoff,0.100000,0,2704,0.978305,232485152,0.581213,26465525,0.066164,58950678,0.294753,8508601647,42.543008,1650361583,8.251808,384848285,1.924241,39728106651,198.640534,50271918166,251.359592
books_200M_uint32,199999999,0.250000,pgm_hash_eps128,min_max_cutoff,0.010000,0,2162,0.962384,612242810,0.765304,10113982,0.012642,22356795,0.111784,5271347201,26.356736,142845158,0.714226,39224544,0.196123,94142362223,470.711813,99595779126,497.978898
books_200M_uint32,199999999,0.500000,pgm_hash_eps16,min_max_cutoff,0.100000,0,90,0.963816,233044269,0.582611,26836064,0.067090,59880334,0.299402,9727040268,48.635202,1650982062,8.254910,505231822,2.526159,56787960411,283.939803,68671214563,343.356075
books_200M_uint32,199999999,0.250000,pgm_hash_eps16,min_max_cutoff,0.010000,0,689,0.926065,608544639,0.760681,7368638,0.009211,15913280,0.079566,274947480,1.374737,136765717,0.683829,46803049,0.234015,80626193259,403.130968,81084709505,405.423550
books_200M_uint32,199999999,0.500000,pgm_eps128,min_max_cutoff,1.000000,0,253,1.523861,274401971,0.686005,48213283,0.120533,122615255,0.613076,10418520027,52.092600,25168591019,125.842956,5857661878,29.288310,56348429215,281.742147,97793202139,488.966013
books_200M_uint32,199999999,0.250000,pgm_eps128,min_max_cutoff,0.100000,0,2722,4.067907,780256281,0.975320,18927139,0.023659,199183423,0.995917,5809005951,29.045030,1672504250,8.362521,383424512,1.917123,81034781381,405.173909,88899716094,444.498583
books_200M_uint32,199999999,0.500000,pgm_eps16,min_max_cutoff,1.000000,0,34,1.357087,273746108,0.684365,48025737,0.120064,121771846,0.608859,9303384851,46.516924,25611418049,128.057091,7379406349,36.897032,65079821699,325.399110,107374030948,536.870157
books_200M_uint32,199999999,0.250000,pgm_eps16,min_max_cutoff,0.100000,0,517,4.015469,780465834,0.975582,18740907,0.023426,199206744,0.996034,6864724883,34.323625,1634211724,8.171059,530913710,2.654569,84057461570,420.287310,93087311887,465.436562
books_200M_uint32,199999999,0.250000,pgm_hash_eps128,min_max_cutoff,0.100000,0,2704,0.942214,608202146,0.760253,7053647,0.008817,15255796,0.076279,7499791633,37.498958,1618206447,8.091032,394223246,1.971116,55022762527,275.113814,64534983853,322.674921
