dataset,numelements,load_factor,sample_size,bucket_size,hashtable,model,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
wiki_ts_200M_uint64,90437011,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,28886240107,319.407285,24468050619,270.553508,24259429895,268.246702,,0.872252,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,44321579128,490.082309,30544271940,337.740839,30805703689,340.631599,,0.872252,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,31210941334,345.112482,25740478673,284.623280,25615869003,283.245418,,0.872252,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,45362964005,501.597338,31263130982,345.689565,31265912192,345.720318,,0.872252,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,21450444891,237.186575,25087806706,277.406412,25142930841,278.015942,,0.687993,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,32332905042,357.518506,31556919238,348.938105,30277620736,334.792364,,0.687993,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,20699077346,228.878389,25962699910,287.080473,26346319248,291.322313,,0.901764,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,32817077075,362.872199,28820477136,318.680116,28881014457,319.349502,,0.901764,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,24083035396,266.296233,27965552491,309.226855,27490865526,303.978042,,0.687993,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,33052864205,365.479397,31337013175,346.506511,31349879852,346.648784,,0.687993,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,20973657404,231.914536,24236940667,267.998029,24202077857,267.612536,,0.901764,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,33370493791,368.991560,29265322129,323.598954,29272259316,323.675661,,0.901764,,,,,,,,
consecutive_200M_uint64,200000000,1.333333,,1,chained,radix_spline,clamp,16,15695015005,78.475075,13129083981,65.645420,13137818086,65.689090,0.000000,,74,0,1,50000074,0,,,
consecutive_200M_uint64,200000000,1.333333,,1,chained,radix_spline,clamp,64,24125305802,120.626529,20040681352,100.203407,20035194888,100.175974,0.000000,,74,0,1,50000074,0,,,
consecutive_200M_uint64,200000000,1.333333,,4,chained,radix_spline,clamp,16,15809199703,79.045999,12874007563,64.370038,12858656878,64.293284,0.000000,,74,0,1,50000074,150000222,,,
consecutive_200M_uint64,200000000,1.333333,,4,chained,radix_spline,clamp,64,29253738607,146.268693,18737141181,93.685706,18738521934,93.692610,0.000000,,74,0,1,50000074,150000222,,,
consecutive_200M_uint64,200000000,1.333333,,1,chained,pgm_hash_eps128_epsrec0,clamp,16,23244325924,116.221630,22824934530,114.124673,22773912767,113.869564,0.000000,,691326,0,12191,50691326,0,,,
consecutive_200M_uint64,200000000,1.333333,,1,chained,pgm_hash_eps128_epsrec0,clamp,64,32444159407,162.220797,30145804545,150.729023,30096895788,150.484479,0.000000,,691326,0,12191,50691326,0,,,
consecutive_200M_uint64,200000000,1.333333,,4,chained,pgm_hash_eps128_epsrec0,clamp,16,23368330914,116.841655,20850967646,104.254838,20655618942,103.278095,0.000000,,691326,0,3048,50476875,151216174,,,
consecutive_200M_uint64,200000000,1.333333,,4,chained,pgm_hash_eps128_epsrec0,clamp,64,32758994226,163.794971,28310104571,141.550523,28260201298,141.301006,0.000000,,691326,0,3048,50476875,151216174,,,
consecutive_200M_uint64,200000000,1.333333,,1,chained,pgm_hash_eps128_epsrec4,clamp,16,21187534470,105.937672,18404201673,92.021008,18446929935,92.234650,0.000000,,691326,0,12191,50691326,0,,,
consecutive_200M_uint64,200000000,1.333333,,1,chained,pgm_hash_eps128_epsrec4,clamp,64,29368265787,146.841329,23984693563,119.923468,23876250793,119.381254,0.000000,,691326,0,12191,50691326,0,,,
consecutive_200M_uint64,200000000,1.333333,,4,chained,pgm_hash_eps128_epsrec4,clamp,16,20942001221,104.710006,17182369068,85.911845,17276679708,86.383399,0.000000,,691326,0,3048,50476875,151216174,,,
consecutive_200M_uint64,200000000,1.333333,,4,chained,pgm_hash_eps128_epsrec4,clamp,64,30514596963,152.572985,22156902692,110.784513,22310111178,111.550556,0.000000,,691326,0,3048,50476875,151216174,,,
consecutive_200M_uint64,200000000,1.000000,,1,chained,radix_spline,clamp,16,11461725709,57.308629,12494788811,62.473944,12543047225,62.715236,0.000000,,2258351,0,1,2258351,0,,,
consecutive_200M_uint64,200000000,1.000000,,1,chained,radix_spline,clamp,64,20074085478,100.370427,19902263286,99.511316,20218960825,101.094804,0.000000,,2258351,0,1,2258351,0,,,
consecutive_200M_uint64,200000000,1.000000,,4,chained,radix_spline,clamp,16,11563987212,57.819936,11946913030,59.734565,11944835700,59.724178,0.000000,,2258351,0,1,2258351,6775053,,,
consecutive_200M_uint64,200000000,1.000000,,4,chained,radix_spline,clamp,64,21113214314,105.566072,19329088745,96.645444,19625591097,98.127955,0.000000,,2258351,0,1,2258351,6775053,,,
consecutive_200M_uint64,200000000,1.000000,,1,chained,pgm_hash_eps128_epsrec0,clamp,16,17938024916,89.690125,20410075409,102.050377,20573345285,102.866726,0.000000,,10414476,0,12190,10414476,0,,,
consecutive_200M_uint64,200000000,1.000000,,1,chained,pgm_hash_eps128_epsrec0,clamp,64,26870559641,134.352798,28174022323,140.870112,27788351808,138.941759,0.000000,,10414476,0,12190,10414476,0,,,
consecutive_200M_uint64,200000000,1.000000,,4,chained,pgm_hash_eps128_epsrec0,clamp,16,17182742906,85.913715,18740918030,93.704590,18720521650,93.602608,0.000000,,10414476,0,3048,10365892,31049092,,,
consecutive_200M_uint64,200000000,1.000000,,4,chained,pgm_hash_eps128_epsrec0,clamp,64,26746722766,133.733614,27188440467,135.942202,26863408215,134.317041,0.000000,,10414476,0,3048,10365892,31049092,,,
consecutive_200M_uint64,200000000,1.000000,,1,chained,pgm_hash_eps128_epsrec4,clamp,16,16337233782,81.686169,16629199912,83.146000,16770750070,83.853750,0.000000,,10414476,0,12190,10414476,0,,,
consecutive_200M_uint64,200000000,1.000000,,1,chained,pgm_hash_eps128_epsrec4,clamp,64,24826266986,124.131335,22076995966,110.384980,22193748786,110.968744,0.000000,,10414476,0,12190,10414476,0,,,
consecutive_200M_uint64,200000000,1.000000,,4,chained,pgm_hash_eps128_epsrec4,clamp,16,15541046917,77.705235,15262074113,76.310371,15403564649,77.017823,0.000000,,10414476,0,3048,10365892,31049092,,,
consecutive_200M_uint64,200000000,1.000000,,4,chained,pgm_hash_eps128_epsrec4,clamp,64,23794312681,118.971563,20213029459,101.065147,20362024589,101.810123,0.000000,,10414476,0,3048,10365892,31049092,,,
consecutive_200M_uint64,200000000,0.800000,,1,chained,radix_spline,clamp,16,11427726985,57.138635,13027484823,65.137424,13079748877,65.398744,0.000000,,50000000,0,0,0,0,,,
consecutive_200M_uint64,200000000,0.800000,,1,chained,radix_spline,clamp,64,21226833952,106.134170,20592241118,102.961206,20804464632,104.022323,0.000000,,50000000,0,0,0,0,,,
consecutive_200M_uint64,200000000,0.800000,,4,chained,radix_spline,clamp,16,11553389708,57.766949,12385461392,61.927307,12488993629,62.444968,0.000000,,50000000,0,0,0,0,,,
consecutive_200M_uint64,200000000,0.800000,,4,chained,radix_spline,clamp,64,21745609722,108.728049,20008342872,100.041714,20038553716,100.192769,0.000000,,50000000,0,0,0,0,,,
consecutive_200M_uint64,200000000,0.800000,,1,chained,pgm_hash_eps128_epsrec0,clamp,16,16519264505,82.596323,20141471777,100.707359,20223458578,101.117293,0.000000,,51202970,0,12190,1202970,0,,,
consecutive_200M_uint64,200000000,0.800000,,1,chained,pgm_hash_eps128_epsrec0,clamp,64,27545327048,137.726635,29193363540,145.966818,28882788729,144.413944,0.000000,,51202970,0,12190,1202970,0,,,
consecutive_200M_uint64,200000000,0.800000,,4,chained,pgm_hash_eps128_epsrec0,clamp,16,15543653207,77.718266,18848530700,94.242654,18834266329,94.171332,0.000000,,51202970,0,3048,1190496,3559014,,,
consecutive_200M_uint64,200000000,0.800000,,4,chained,pgm_hash_eps128_epsrec0,clamp,64,26082409317,130.412047,27720835771,138.604179,27611208840,138.056044,0.000000,,51202970,0,3048,1190496,3559014,,,
consecutive_200M_uint64,200000000,0.800000,,1,chained,pgm_hash_eps128_epsrec4,clamp,16,15532545898,77.662729,16398583474,81.992917,16500281418,82.501407,0.000000,,51202970,0,12190,1202970,0,,,
consecutive_200M_uint64,200000000,0.800000,,1,chained,pgm_hash_eps128_epsrec4,clamp,64,24225882162,121.129411,21755000842,108.775004,22042753586,110.213768,0.000000,,51202970,0,12190,1202970,0,,,
consecutive_200M_uint64,200000000,0.800000,,4,chained,pgm_hash_eps128_epsrec4,clamp,16,14063101619,70.315508,15202539589,76.012698,15230226073,76.151130,0.000000,,51202970,0,3048,1190496,3559014,,,
consecutive_200M_uint64,200000000,0.800000,,4,chained,pgm_hash_eps128_epsrec4,clamp,64,21889136916,109.445685,19327129378,96.635647,19338994811,96.694974,0.000000,,51202970,0,3048,1190496,3559014,,,
consecutive_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline-murmur3_fin64_2,clamp-fast_modulo,16,49523847038,247.619235,21636309083,108.181545,21653831989,108.269160,0.000000,0.702838,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline-murmur3_fin64_2,clamp-fast_modulo,64,82083623572,410.418118,34628795217,173.143976,34513406639,172.567033,0.000000,0.702838,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline-murmur3_fin64_2,clamp-fast_modulo,16,38779097732,193.895489,15479722781,77.398614,15489718259,77.448591,0.000000,0.991370,,,,,,,,
