dataset,compiler,machine,slots_per_bucket,kicking_strategy,reducer,hash,load_factor,payload,build_ns,avg_probe_ns,median_probe_ns,primary_key_ratio,num_runs,sample_size
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,xxh3,0.950000,16,214.019151,230.113006,230.104676,0.835380,5,
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,clamp-fast_modulo,radix_spline_err32_rbits18,0.950000,16,1185.721114,446.685847,446.661751,0.615299,7,1.000000
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,murmur_finalizer64,0.980000,16,291.037965,232.877506,232.906040,0.811167,5,
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,aqua0_64,0.980000,16,288.977763,233.443499,233.455404,0.811156,5,
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,xxh3,0.980000,16,293.324230,234.344521,234.328883,0.811170,5,
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,clamp-fast_modulo,radix_spline_err8_rbits26,0.980000,16,1028.994815,488.993032,488.976847,0.726941,7,1.000000
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_90,clamp-fast_modulo,radix_spline_err32_rbits18,0.950000,16,834.427408,440.584130,440.575904,0.292323,7,1.000000
osm_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_90,clamp-fast_modulo,radix_spline_err16_rbits26,0.980000,16,2491.020317,455.361958,455.337909,0.217074,7,1.000000
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,murmur_finalizer64,0.950000,16,198.548275,239.100872,239.112601,0.650340,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,aqua0_64,0.950000,16,198.677771,243.670495,243.647489,0.650340,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,xxh3,0.950000,16,210.661060,245.937848,245.867069,0.650280,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,clamp-fast_modulo,radix_spline_err32_rbits18,0.950000,16,225.807057,262.782054,262.858172,0.730403,7,0.010000
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,murmur_finalizer64,0.980000,16,229.396863,244.117700,244.134100,0.614017,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,aqua0_64,0.980000,16,228.471493,247.168581,247.234132,0.613912,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,xxh3,0.980000,16,237.895304,248.311705,248.209458,0.613981,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,clamp-fast_modulo,radix_spline_err32_rbits18,0.980000,16,247.049795,266.872381,266.836028,0.702828,7,0.010000
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,clamp-fast_modulo,radix_spline_err32_rbits18,0.950000,16,177.484234,230.134607,230.111998,0.999308,7,0.010000
