dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,635575282,3.177876,5146390577,25.731953,25492809566,127.464048,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,1542350008,7.711750,1634975922,8.174880,114214533,0.571073,29820267151,149.101337,33111807614,165.559039,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,622755134,3.113776,4983197464,24.915987,25316796305,126.583982,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,552711163,2.763556,9424539790,47.122699,29470168122,147.350841,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,601314882,3.006574,5104479554,25.522398,25416638143,127.083191,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,548313857,2.741569,8052156119,40.260781,28260201637,141.301009,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,102944705,0.514724,20164534876,100.822674,23456748998,117.283745,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,609836271,3.049181,12939023959,64.695120,33041777399,165.208887,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,653287940,3.266440,12744270969,63.721355,33057290570,165.286454,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,411843146,2.059216,4833215368,24.166077,24737975683,123.689878,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,328146778,1.640734,7747337658,38.736688,27568401605,137.842008,10
