dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,0.010000,107625743,0.538129,105217453,0.526087,15477862,0.077389,5832899630,29.164498,6061220688,30.306103,
books_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,0.100000,1020395607,5.101978,1235976690,6.179883,99601246,0.498006,6927099860,34.635499,9283073403,46.415367,
books_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,1.000000,552776843,2.763884,14532563311,72.662817,870314945,4.351575,9993900469,49.969502,25949555568,129.747778,
books_200M_uint64,200000000,pgm_eps16_epsrec4,min_max_cutoff,0.001000,10317563,0.051588,8806595,0.044033,2318601,0.011593,6255721338,31.278607,6277164097,31.385820,
books_200M_uint64,200000000,pgm_eps16_epsrec4,min_max_cutoff,0.010000,96558779,0.482794,112103906,0.560520,27113813,0.135569,6852102941,34.260515,7087879439,35.439397,
books_200M_uint64,200000000,pgm_eps16_epsrec4,min_max_cutoff,0.100000,1114979002,5.574895,1269942152,6.349711,148654944,0.743275,10216192538,51.080963,12749768636,63.748843,
books_200M_uint64,200000000,pgm_eps16_epsrec4,min_max_cutoff,1.000000,560359484,2.801797,15190358761,75.951794,1327004667,6.635023,18589157063,92.945785,35666879975,178.334400,
books_200M_uint64,200000000,pgm_eps8_epsrec4,min_max_cutoff,0.001000,11628163,0.058141,9414177,0.047071,3596335,0.017982,6581979145,32.909896,6606617820,33.033089,
books_200M_uint64,200000000,pgm_eps8_epsrec4,min_max_cutoff,0.010000,94956365,0.474782,107932855,0.539664,27907929,0.139540,7255440909,36.277205,7486238058,37.431190,
books_200M_uint64,200000000,pgm_eps8_epsrec4,min_max_cutoff,0.100000,1058066104,5.290331,1298075823,6.490379,139348279,0.696741,11246808984,56.234045,13742299190,68.711496,
books_200M_uint64,200000000,pgm_eps8_epsrec4,min_max_cutoff,1.000000,573185770,2.865929,15106426119,75.532131,1412264389,7.061322,21588784561,107.943923,38680660839,193.403304,
books_200M_uint64,200000000,pgm_hash_eps128_epsrec4,min_max_cutoff,0.001000,11082189,0.055411,8837693,0.044188,1880044,0.009400,3729356040,18.646780,3751155966,18.755780,
books_200M_uint64,200000000,pgm_hash_eps128_epsrec4,min_max_cutoff,0.010000,108833631,0.544168,104730545,0.523653,15112032,0.075560,5611012750,28.055064,5839688958,29.198445,
books_200M_uint64,200000000,pgm_hash_eps128_epsrec4,min_max_cutoff,0.100000,1111954825,5.559774,1290601036,6.453005,94839726,0.474199,6738315061,33.691575,9235710648,46.178553,
